9,Vincent Laforet,"Director, Filmmaker, Photographer","Vincent Laforet is among the most influential pioneers working in film and contemporary photography today. His work includes iconic and inventive commercials for brands including  Apple and Nike, as well as photography for magazines such as National Geographic, Vanity Fair, and Sports Illustrated.","Vincent Laforet is among the most influential pioneers working in contemporary photography and film today. His unique commercials for such well-known brands as Apple, Nike, General Electric, CNN, and Canon, and his groundbreaking photography for magazines such as National Geographic, Vanity Fair, and Sports Illustrated, to name just a few, cover a broad spectrum of subjects and narratives. Yet a common thread runs through his work: It always features cutting-edge technologies that make the photographs and films inventive, iconic and unforgettable. ",,,,,,,,,,,,
↵ ,,,,,,,,,,,,,,,,
"↵As a visual thought leader, Laforet is deliberate and direct in how he talks about his work and teaches his craft, whether speaking to millions on national news networks, like CBS Sunday Morning, or working one-on-one with directors and photographers in film or photo workshops. He’s also a popular speaker at media, photo and film conventions, and is a highly sought-after advisor to start-up Silicon Valley companies. When engaging with an audience, whether it's a large public gathering or a small group of investors or influencers, he enthusiastically shares his experiences, from winning a Pulitzer Prize for his coverage in The New York Times of post-9/11 events in the Middle East to creating his commercial films, which won him three awards at the Cannes Lions International Advertising Festival in 2010. His success in traditional media has also made him one of the most recognizable photographers in the world of social media: More than 40 million people online have seen and shared his mesmerizing, high-altitude, nocturnal, aerial photos of cities around the world, which have been collected and published in his photography book, Air.",vincent-laforet,http://www.vincentlaforet.com/,https://twitter.com/vincentlaforet,https://www.facebook.com/laforetvisuals,https://www.instagram.com/vincentlaforet/,NULL,NULL,images/educators/973ff36ffe113ed51466b5089e29b57c.jpg,1,6/21/17 12:26,7/6/17 7:01,NULL,,,,
10,Shane Hurlbut ASC,Cinematographer,"Shane Hurlbut, ASC is a world-renowned cinematographer and gifted narrative storyteller who has lensed numerous feature films, commercials, music videos as well as episodic television programs.","Shane Hurlbut, ASC is a world-renowned cinematographer and gifted narrative storyteller. He is an innovative cinematic pioneer who exudes excitement and passion in every project. Shane is a member of the prestigious American Society of Cinematographers and The Academy of Motion Picture Arts and Sciences.",,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵The American Society of Cinematographers recognized Shane after his first feature film, The Rat Pack, directed by Rob Cohen in 1998. Shane became the youngest cinematographer to be nominated for an ASC award for a debut film. Over the course of his career, he lensed nineteen additional features including Terminator Salvation and We Are Marshall, directed by McG, The Greatest Game Ever Played, directed by Bill Paxton, and Drumline, directed by Charles Stone III. In 2009, Shane collaborated with directors Scott Waugh and Mike McCoy on Act of Valor, which featured US Navy Seals around the world.",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵Recent work includes Fathers and Daughters, the emotional story of the relationship between a father and his daughter, directed by Gabriele Muccino, which boasts the impressive cast of Russell Crowe, Jane Fonda, Octavia Spencer, and Quvenzhane Wallis and The Babysitter, a coming-of-age horror story, directed by McG. Shane recently finished shooting The Adventurers, directed by Stephen Fung and starring Jean Reno, Qi Shu, and Andy Lau, which will be released in 2017.",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵In addition to his narrative work, Shane teamed up with directors David Dobkin and Guy Ferland to create an extraordinary vision for TV with AMC’s popular new dystopian series Into the Badlands, created by Miles Millar and Al Gough. It was the third highest rated, first season series in United States Cable TV history, with an average number of viewers of 5.6 million on every episode.",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵Hurlbut resides in Los Angeles and has been happily married to Lydia for 28 years. He is the proud father of two children, Kyra and Myles. In his free time, Hurlbut enjoys cooking, wine tasting and entertaining great friends at home.",shane-hurlbut-asc,http://www.thehurlblog.com/,https://twitter.com/shanehurlbutasc,https://www.facebook.com/shanehurlbutasc,https://www.instagram.com/shanehurlbutasc/,https://www.youtube.com/user/HurlbutVisualsLA,https://vimeo.com/hurlbutvisuals,images/educators/8e8795f5470a00bd6d0e41dad96a8589.jpg,0,6/21/17 12:32,10/14/19 4:56,NULL,,,,
11,Alex Buono,"Cinematographer, Producer, Director","Drawing on his experience as the Director of Photography for the Saturday Night Live film unit for 17 years,  Alex is able to instantly deconstruct and replicate almost any genre or visual style. His work as a Cinematographer and Producer have earned him an Academy Award nomination as well as multiple film festival awards.","Alex is Director/EP of the Emmy-nominated IFC comedy series DOCUMENTARY NOW!. He is also the Writer/Producer of the documentary feature BIGGER STRONGER FASTER*, which premiered at the 2008 Sundance Film Festival and won the Special Jury Prize at the Karlovy Vary Film Festival. In 2003, Alex received an Oscar nomination for the short film JOHNNY FLYNTON, which he produced and also shot. Alex repeated the dual role of producer/cinematographer on GREEN STREET HOOLIGANS that won both the Grand Jury Prize and Audience Award at the 2005 South by Southwest Film Festival. Alex was also the Director of Photography for the SATURDAY NIGHT LIVE Film Unit from 1999-2016, where he shot hundreds of short films, including Farewell, Mr. Bunting, The Midnight Coterie of Sinister Intruders, Matthew McConaughey for Lincoln and the 40th Anniversary Season title sequence, to name a few.",,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵Alex was educated at the USC School of Cinematic Arts, where he double-majored in Film Production and Still Photography. His early post-collegiate years were spent on the camera crews of studio films including Twister, Conspiracy Theory and Armageddon, learning from top cinematographers and personal mentors including Conrad Hall, Dean Cundey and John Schwartzman. Alex is a member of the Director’s Guild of America, the Writer’s Guild of America, the International Documentary Association and the International Cinematographer’s Guild.",alex-buono,http://www.alex-buono.com/,https://twitter.com/alexbuono,NULL,NULL,NULL,NULL,images/educators/d164d89be3fc0a0eabab612140693e7c.jpg,1,6/21/17 12:57,7/6/17 3:51,NULL,,,,
12,Adam Epstein,"Editor, Filmmaker",Adam Epstein is the Emmy-nominated Senior Film Editor for the *Saturday Night Live* Film Unit where he just completed his 8th season. Additionally he has worked on numerous feature films and commercials.,"Adam Epstein is the Emmy-nominated Senior Film Editor for the *Saturday Night Live* Film Unit where he just completed his 8th season. Moving between short and long form projects, he's cut features such as *Staten Island Summer*, produced by Lorne Michaels for Paramount Pictures, the upcoming *Killing Gunther* starring Arnold Schwarzenegger, as well as TV shows including the first two seasons of the acclaimed IFC series *Documentary Now!*  He is represented by PS260 for bicoastal commercial projects, and is a thought leader in the post-production field as a frequent opinion columnist. He's made mainly of carbon.",adam-epstein,http://adam-epstein.com/,https://twitter.com/eppyad,https://www.facebook.com/adam.epstein.90,NULL,NULL,NULL,images/educators/9ebe05e3a52fe68dfdb70761f78ee940.jpg,1,6/21/17 13:10,7/11/17 0:04,NULL
13,Clay Blackmore,"Photographer, Filmmaker","Clay Blackmore is one of the most influential and sought-after photographers in the world, with a clientele that includes Larry King, Forest Whitaker, Jenna Elfman, and Maria Sharapova. A protégé of the legendary Monte Zucker, Clay is a legend in his own right.","Clay Blackmore is one of the most influential and sought-after photographers in the world, with a clientele that includes Larry King, Forest Whitaker, Jenna Elfman, and Maria Sharapova. His photographs are routinely featured in Washington Life Magazine.",,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵A protégé of the legendary Monte Zucker, Clay is a legend in his own right. Clay meticulously developed his photographic, teaching, and business skills during this 25-year association with Monte, first as an assistant, then as a co-educator and business partner.",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵In addition to his mastery of lighting and classic portraiture, Clay is at the forefront of HD-DSLR cinema, pushing the limits of the latest innovations in filmmaking to create timeless pieces of cinematic storytelling. His world-class studio in Rockville, Md., supports a team of passionate photographers and filmmakers working with the newest technologies in the field. Collaborating with companies such as Canon, Tiffen, and Quantum, Clay has been among the first to test and evaluate new products for photography and HD-DSLR cinematography. He is a distinguished Canon Explorer of Light and a member of the elite Cameracraftsmen of America.",clay-blackmore,http://www.clayblackmore.com/,https://twitter.com/claynco,https://www.facebook.com/clay.blackmore,https://www.instagram.com/clayblackmore/,NULL,https://vimeo.com/clayblackmore,images/educators/a5cc11de4d8409390a7bc75cf9d9b349.jpg,1,6/21/17 13:16,7/6/17 7:06,NULL,,,,
14,Bob Davis,Photographer,"Bob Davis is a renowned portrait photographer who, along with wife Dawn, focuses on creative and stunning wedding photography. With over 25 years experience behind the camera, Bob is a respected educator who shares his passion for photography with students the world over.","Bob Davis is a renowned portrait photographer who, along with wife Dawn, focuses on creative and stunning wedding photography. With over 25 years experience behind the camera, Bob is a respected educator who shares his passion for photography with students the world over.",bob-davis,http://bobanddawndavis.com/,https://twitter.com/BobDavis_1,https://www.facebook.com/1BobDavis,https://www.instagram.com/bob_davis/,NULL,NULL,images/educators/a57aad8556a3fd4e5430fc474a1ecaea.jpg,1,6/21/17 13:24,7/6/17 7:21,NULL
15,Stephen Eastwood,Photographer,"As a beauty and high-fashion specialist, Stephen's photographs are always striking. His ability to use lighting to sculpt models and consistently create alluring images has made him a highly sought after commercial photographer.","As a beauty and high-fashion specialist, Stephen's photographs are always striking. His ability to use lighting to sculpt models and consistently create alluring images has made him a highly sought after commercial photographer.",stephen-eastwood,http://www.stepheneastwood.com,NULL,https://www.facebook.com/StephenEastwoodPhotography/,NULL,NULL,NULL,images/educators/c4372a3448ea46266e4a491d828289b5.jpg,1,6/21/17 13:38,7/6/17 7:34,NULL
16,Jerry Ghionis,Photographer,Jerry Ghionis is widely celebrated as being among the top five best wedding photographers in the world. He has emerged as one of the most influential wedding photographers of the 21st century.,"Jerry Ghionis is widely celebrated as being among the top five best wedding photographers in the world. He has emerged as one of the most influential wedding photographers of the 21st century. Inheriting the strong european sense of style and panache that’s synonymous with the Greek culture, combined with the relaxed Australian sensibility, Jerry and his wife, Melissa, are based in Melbourne, Australia and Beverly Hills, USA. Together they travel frequently on international photography assignments and speaking engagements. Married in January 2011, Jerry and Melissa work as a team and have developed a powerful creative and business force.",,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵With the flair of a fashion designer and the ingenuity of an architect, his style can be described as vintage glamour meets contemporary fashion. Renowned for his creativity, he not only has the ability to capture natural magic on a wedding day but he creates magic of his own. His love and empathy for people creates powerful visual storytelling. With the innate ability to make everyone look and feel beautiful in front of his camera, Jerry’s images are often simple yet a complex blend of soul, drama, imagination and technical skill. Whether he is shooting a glamour session, lifestyle portrait or a boudoir beauty, Jerry has the ability to bring out the best in any situation.",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵Although his signature style is recognizable, Jerry has reinvented himself countless times over the 21 years he has been shooting professionally. He has been described as predictably unpredictable. Just when you think his work has reached its limits he surprises you with yet another reinvention.",jerry-ghionis,https://www.jerryghionis.com/,https://twitter.com/jerryghionis,https://www.facebook.com/jerryghionis/,https://www.instagram.com/jerryghionis/,https://www.youtube.com/channel/UCL9ZBqxSSB_7MFycO0k7-OA,NULL,images/educators/dda9e7f41653b57c1865e19ed260d2ab.jpg,1,6/21/17 13:42,7/6/17 4:01,NULL,,,,
17,Matthew Allard ACS,Cinematographer,"Matthew Allard is a multi award-winning, ACS accredited freelance Director of Photography with more than 25 years' experience working in almost 50 different countries around the world. Matthew has covered natural disasters, wars and major sporting events all over the globe.","Matthew Allard is a multi award-winning, ACS accredited freelance Director of Photography with more than 25 years' experience working in almost 50 different countries around the world. Matthew has covered natural disasters, wars and major sporting events all over the globe. He is now based out of Tokyo, Japan and mainly films documentaries and corporate material for high-profile clients. ",,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵Matthew has won 30 ACS Awards, including three prestigious ""Golden Tripods"", and in 2016 he won the award for Best Cinematography at the Asian Television Awards.",matthew-allard-acs,http://www.newsshooter.com,https://twitter.com/mattallardACS,https://www.facebook.com/thenewsshooter/,https://www.instagram.com/thenewsshooter/,https://www.youtube.com/newsshooter,https://vimeo.com/newsshooter,images/educators/1fb66e79c98a55894584117a06f799b2.jpg,1,8/16/17 6:37,8/16/17 6:37,NULL,,,,
18,Ollie Kenchington,"Filmmaker, Editor, Colorist","Ollie's company, Korro Films, produces commercials, short films, documentaries and branded content for major international clients, with Ollie carrying out senior editor and colourist duties on every project. Ollie is an assured practitioner across all areas of filmmaking, giving him a deep understanding of the creative process which allows his agency to flourish in this competitive industry. Additionally he is an accomplished educator, and founder of Korro Academy.","Ollie set up Korro Films, a UK based film production company, in 2008. Under his direction Korro produces commercials, short films, documentaries and branded content for major international clients, with Ollie carrying out senior editor and colourist duties on every project. Ollie is an assured practitioner across all areas of filmmaking, giving him a deep understanding of the creative process, which allows his agency to flourish in this competitive industry. ",,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵Ollie is also among the most highly qualified and respected film production and post-production trainers in the UK right now. Over the last twelve years, Ollie has taught thousands of aspiring filmmakers as an Apple Certified Master Trainer, Adobe Certified Instructor and Blackmagic Certified Trainer. Ollie regularly delivers masterclasses in DaVinci Resolve at the YouTube Space: London and is the lead tutor and founder of Korro Academy, a Blackmagic Design Training Partner offering certified courses and exams in DaVinci Resolve 14. It is also a prestigious film academy that is attempting to re-shape the way film is taught in the modern era, with its completely unique 8-week film school and mentorship programme.",ollie-kenchington,https://www.korro.co.uk/,https://twitter.com/korrofilms,https://www.facebook.com/korrofilms,https://www.instagram.com/korrofilms/,NULL,https://vimeo.com/korrofilms,images/educators/2d697f4772ffc581d7592b0e0cc1e8ba.jpg,1,4/5/18 5:40,9/3/18 3:46,NULL,,,,
19,Test,Tester,This is a test,this is a test,test,NULL,NULL,NULL,NULL,NULL,NULL,images/educators/ad3a0acc8c98b6504ffa515ef0e5bba8.jpg,1,6/13/18 4:02,6/13/18 4:02,6/13/18 4:02
20,AbelCine Team,Camera Technology Specialists,"One of the world’s leading providers to the cinema and filmmaking industry, AbelCine offers a wide range of services including sales, rental, service and education. Education and the sharing of knowledge is at its core, and its education team is comprised of experienced, knowledgeable camera specialists including Megan Donnelly, Ian McCausland, Nic Somera, Corey Christian and Geoff Smith.","One of the world’s leading providers to the cinema and filmmaking industry, AbelCine offers a wide range of services including sales, rental, service and education. For thirty years the company has been providing the highest quality customer service and support, continually adapting to meet the evolving needs of the modern filmmaker. ",,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵Education and the sharing of knowledge is at the core of everything that AbelCine does, and its education team is comprised of experienced, knowledgeable camera specialists including Megan Donnelly, Ian McCausland, Nic Somera, Corey Christian and Geoff Smith.",abelcine-education-team,https://www.abelcine.com/,https://twitter.com/abelcine,https://www.facebook.com/AbelCine,https://www.instagram.com/abelcine/,https://www.youtube.com/user/AbelCineTech,https://vimeo.com/abelcine,images/educators/eed0d0eb0292f016ae65fddf87a85e9d_optimized.jpg,1,6/13/18 4:11,10/17/23 4:38,NULL,,,,
21,Patrick Moreau,"Filmmaker, Educator","Patrick Moreau is a filmmaker and educator who is, quite literally, obsessed with story. He believes (and science backs it up) that story is unparalleled in its ability to bring people together and create change.","Patrick Moreau is, quite literally, obsessed with story. No, not 'story' the buzzword that gets tossed around with little meaning. Rather, story, the timeless tradition shared before we—the human race—had written language. He believes (and science backs it up) that story is unparalleled in its ability to bring people together and create change.",,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵While yes, Patrick has worked for some big brands, directed several documentaries, and won some Emmys, more than any of that, he loves the craft of filmmaking and using it to unlock the wonder in this world. He and his team of leaders, filmmakers, and educators at Muse Storytelling spend their days telling meaningful stories through film, while empowering others to tell captivating stories of their own.",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵The Muse team lives and dies by the idea that we must ""guide the heart to move the mind"" — that we need to connect emotionally if we want to change the behavior or perspective of our audience. This is the guiding philosophy of the Science of Storytelling course, and a philosophy that Muse has shared with global business leaders at Apple and the United Nations, and that drives their work, including with brands like the NFL and Canon, as well as on several Emmy Award-winning films.",patrick-moreau,https://www.musestorytelling.com/,NULL,NULL,NULL,NULL,NULL,images/educators/6a1760adb9a85edbce8469c4585de83b.jpg,1,8/9/18 12:38,8/9/18 13:43,NULL,,,,
22,Seth Worley,"Writer, Director","Seth Worley is the writer/director of short films and branded content for clients like JJ Abrams’s Bad Robot, Red Giant, Film Riot, Sandwich Video, and Steve Taylor. His work has been featured in Forbes, USA Today, The Hollywood Reporter, Fast Company, Slate, io9, SlashFilm, HULU, The Tonight Show, and more.","Seth Worley is the writer/director of short films and branded content for clients like JJ Abrams’s Bad Robot, Red Giant, Film Riot, Sandwich Video, and Steve Taylor.",,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵Known for his ability to balance character-driven comedy with high-concept spectacle, his short films include the genre-bending/Webby-winning Plot Device, Seussian fable Old/New: Narrated by Patton Oswalt, dark comedy Real Gone (winner of the Music Bed Film Festival judge's choice award), sci-fi action set piece Tempo (one of Slate's ""Six Best Sci-Fi Shorts of 2012”), and the “24-meets-Take-Your-Daughter-To-Work-Day” dramedy Form 17.",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵In 2017, he co-founded the company Plot Devices to manufacture tools and resources for screenwriters and story nerds. The company’s first product, the Storyclock Notebook, was brought to life by 5,354 Kickstarter backers, raising over $120,000 in 30 days.",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵His work has been featured in Forbes, USA Today, The Hollywood Reporter, Fast Company, Slate, io9, SlashFilm, HULU, The Tonight Show, and more.",seth-worley,http://www.sethworley.com,https://twitter.com/Awakeland3D,http://www.facebook.com/directorsethworley,http://instagram.com/awakeland3d,NULL,NULL,images/educators/6f2a7e8f367110488ff08070a4c16767.jpg,1,10/6/18 5:51,10/6/18 5:51,NULL,,,,
23,Mitch Gross,"Educator, Filmmaker, Product Specialist","Industry veteran Mitch Gross is the Cinema Product Manager at Panasonic USA. He has been working in the New York film industry for more than fifteen years and has been the DP on more than twenty feature films as well as hundreds of commercials, music videos, documentaries and other productions.","Industry veteran Mitch Gross is the Cinema Product Manager at Panasonic USA. He has been working in the New York film industry for more than fifteen years and is a respected voice on industry blogs and discussion boards. Formerly Applications Specialist at AbelCine, he was also the Director of Photography on more than two dozen features, plus hundreds of commercials, music videos, industrials, documentaries and other productions. His work has been screened and has won awards at festivals including Sundance, Berlin, Cannes, Edinburgh and New York.",mitch-gross,NULL,https://twitter.com/mitch_gross,NULL,NULL,NULL,NULL,images/educators/3e94793401cf2a90cdb5fc01af2ef4f2.jpg,1,7/20/19 6:12,7/20/19 6:12,NULL
24,ARRI Academy,NULL,"Led by experienced industry professionals, ARRI Academy courses provide unrivalled insight into the full possibilities of working with ARRI camera systems, lenses, lights and accessories.","Led by experienced industry professionals, ARRI Academy courses provide unrivalled insight into the full possibilities of working with ARRI camera systems, lenses, lights and accessories. ",,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵The Senior Trainer at ARRI Academy, Florian Rettich, has over 25 years experience as in the film industry. Beginning his career as a First and Second AC on 16mm and 35mm projects, he established himself as a digital acquisition expert in the early 2000s with the growth of digital cinematography. ",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵Florian joined ARRI in 2016 to help establish ARRI Academy in his role as Senior Trainer as well as consulting for the company's Digital Workflow Group at ARRI HQ in Munich, Germany. In his role as a technical supervisor and DIT, he is well known as an universal specialist for almost any kind of digital acquisition technology and workflow.",arri-academy,https://arri.academy/overview,https://twitter.com/ARRIChannel,https://www.facebook.com/groups/ARRIAcademy/,https://www.instagram.com/arri,https://www.youtube.com/user/ARRIChannel,https://vimeo.com/arrichannel,images/educators/210fdd31d8fcabc443bbd0a9332edf9e.jpg,1,8/1/19 2:18,10/10/19 23:54,NULL,,,,
25,Ray Roman,Filmmaker,"Ray Roman is the world's premier wedding filmmaker,  creating timeless visual stories for celebrities, musicians, royalty, professional athletes and billionaires for more than a decade and setting the standard in luxury wedding films.","Ray Roman is the world's premier wedding filmmaker,  creating timeless visual stories for celebrities, musicians, royalty, professional athletes and billionaires for more than a decade and setting the standard in luxury wedding films.",,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵A winner of countless International awards for his work, Ray has also been a passionate educator in the industry for over 10 years and has trained thousands of wedding videographers around the world.",ray-roman,https://www.rayromanfilms.com/,NULL,https://www.facebook.com/rayromanfilms/,https://www.instagram.com/rayromanfilms/,NULL,NULL,images/educators/df651ead9d04fe4f06cb8a305e8e16bc.jpg,1,3/25/20 3:08,3/25/20 3:08,NULL,,,,
26,Jem Schofield,"Producer, DP, Educator","Jem Schofield is a producer, DP and educator and the founder of theC47, a full-service production company that focuses on video production, filmmaking, consulting & education. He  spends most of his time producing content, educating others and otherwise being borderline obsessed with cameras, production and the craft of lighting.","Jem Schofield is a producer, DP and educator and the founder of theC47, a full-service production company that focuses on video production, filmmaking, consulting & education. He started this journey as a kid (barely double digits) with a used Pentax K-1000. It was a great start to his education in this field, and nowadays he spends most of his time producing content, educating others and otherwise being borderline obsessed with cameras, production and the craft of lighting.",,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
"↵For over 20 years Jem has produced projects and provided training for an ever-expanding client base. Current and past clients include AbelCine, Apple, Inc., ARRI, Canon, Corus Entertainment, LinkedIn Learning, MAC Group, MZed, NBCUniversal, NPR, PBS, Riverbed Technologies, Scottish Enterprise, Sony, TED, The Vitec Group, Walmart Films, Westcott, YouTube and Zeiss. Jem is also an equipment design consultant to many manufacturers in the film and television industry. He designed theC47 DP Kit & theC47 Book Light Kit (geared towards corporate, in-house and small to no crew productions), which is based on FJ Westcott's Scrim Jim Cine system. ",,,,,,,,,,,,,,,,
↵,,,,,,,,,,,,,,,,
↵For more information about Jem & his whereabouts visit visit his YouTube Channel at www.youtube.com/thec47 where he posts ongoing educational content focused on the tech & craft of video production and filmmaking related to Small to No Crew production.,jem-schofield,https://www.thec47.com,https://www.twitter.com/thec47,https://www.facebook.com/thec47,https://www.instagram.com/jemschofield,http://www.youtube.com/thec47,NULL,images/educators/jem_schofield.jpg,1,4/23/20 1:52,4/23/20 4:27,NULL,,,,
27,Tom Cross,Editor,"Tom Cross is an Oscar and BAFTA-winning film editor, best known for his collaborations with Director Damien Chazelle, including ""Whiplash"", ""La La Land"" and ""First Man"".","Tom Cross is an American film editor. He began his career in 1997 as an assistant editor, contributing to such diverse projects such as *We Own the Night*, *Crazy Heart* and the Primetime Emmy Award-Winning drama series *Deadwood*. Cross came to worldwide prominence in 2015 when he won the Independent Spirit Award for Best Editing, BAFTA Award for Best Editing and the Academy Award for Best Editing (among other honors) for his work on the acclaimed film *Whiplash*.  In 2016, Cross reunited with Writer/Director Damien Chazelle on the romantic musical comedy *La La Land* for which he was nominated again for an Academy Award, BAFTA Award and won The American Cinema Editor's Award.",tom-cross,NULL,NULL,NULL,NULL,NULL,NULL,images/educators/tomcross2.jpg,1,6/1/20 2:34,6/1/20 2:34,NULL
