What course topics are you most interested in?,Which AI filmmaking tools are you most interested in learning? (select all that apply),Would you be interested in submitting your own short course to MZed?,"If MZed opened up course creation to the community, what would motivate you to create a course? (select all that apply)",What topics could YOU teach a 30-60 minute course on?,How important is it that MZed courses come from established professionals vs. emerging creators?,Would you use a feature where the community votes on what courses should be created next?,What specific course or instructor would make you subscribe immediately?,What frustrates you most about current filmmaking education options?,Is there anything else you'd like to share with the MZed team?
"Unreal Engine for Filmmakers, Directing, Video Interview and Production, Lighting, Audio / Sound Design, Screenwriting, Corporate video production, AI Tools & Workflows, Virtual Production, Content Creation (Youtube, TikTok, Reels), Editing, Animation & Motion Graphics, Documentary filmmaking, Cinematography, Business of Filmmaking, Narrative filmmaking, Photography, Professional Software Deep-dives, Drone Operations, Career Development & Freelancing, Color Grading, Producing","Generative video AI (Runway, Pika, etc.), AI video editing assistants, AI color grading tools, AI scriptwriting/storyboarding, AI voice cloning/dubbing, AI motion tracking, AI background removal, AI upscaling/restoration","Maybe, if I knew more about the process","Gear/software giveaways, Free MZed Pro membership, Revenue share/royalties from course views",I don't have enough expertise to create a course.,I prefer a mix of both,"Yes, but I probably wouldn't vote often",Color grading,I am not sure,"No, you guys are doing good"
"AI Tools & Workflows, Lighting, Directing, Animation & Motion Graphics, Screenwriting, Color Grading","AI video editing assistants, AI color grading tools, AI upscaling/restoration, AI background removal, AI motion tracking","No, but I'd watch community-created courses","Free MZed Pro membership, Revenue share/royalties from course views, Building my personal brand/following, Sharing my expertise with the community",Motion Graphics for Event Production,Somewhat important - I prefer professionals but open to others,"Yes, and I would actively participate in voting",,"How quickly new technology and software updates come out, so it's challenging to keep up with all the skills that keep changing. So often, tutorials I've spent hours on become outdated in a few years.",I admire that courses are taught by industry professionals. I want to be on the cusp of what's going on.
"Career Development & Freelancing, Business of Filmmaking, Professional Software Deep-dives, Unreal Engine for Filmmakers, Color Grading, Lighting, Acting & Performance, Producing",Not interested in AI tools,"Maybe, if I knew more about the process","Revenue share/royalties from course views, Gear/software giveaways",Probably none,Somewhat important - I prefer professionals but open to others,"Yes, and I would actively participate in voting",,,
"Color Grading, Podcast Interview and Production, Content Creation (Youtube, TikTok, Reels), Animation & Motion Graphics, AI Tools & Workflows","Generative video AI (Runway, Pika, etc.), AI video editing assistants, AI color grading tools, AI scriptwriting/storyboarding, AI voice cloning/dubbing, AI upscaling/restoration, AI background removal, AI motion tracking","Yes, definitely interested","Free MZed Pro membership, Gear/software giveaways, Revenue share/royalties from course views","AI Content Creation for Business.
Building an AI brain for your business.
How to get corporate video production work - creating value for your clients.
Broadcasting and Show Production (ATEM Ninja)",Not important - good content matters more than credentials,"Yes, and I would actively participate in voting","AI is my focus right now, using in practical applications.
We are approaching Chinese companies in a vertical and creating content packages for them.","They are all abstracts.  Like ...you can use this to do all these things.
I think education could be better if there are more industry specific examples or more importantly show how to create a system that can be applied over many verticals.",Great work!
"Cinematography, Editing",AI background removal,"No, but I'd watch community-created courses",Sharing my expertise with the community,Audio,I prefer a mix of both,"No, I trust MZed to curate content",Fairlight Audio,Not enough details of actual rigs,I bought a used Canon C500 on eBay to learn basics of film making
"Cinematography, Color Grading, Lighting, Virtual Production, Professional Software Deep-dives, Drone Operations, Documentary filmmaking, Video Interview and Production, AI Tools & Workflows, Producing, Career Development & Freelancing","AI color grading tools, AI video editing assistants, Floor plans, other administrative work relevant to production","No, I'm not interested","Revenue share/royalties from course views, Gear/software giveaways, Promotion on CineD.com and social channels, Free MZed Pro membership","- 1st & 2nd Camera Assistant workflows. 
- Data Wrangling workflow.
- Building / rigging a camera. 

",Very important - I only want courses from industry veterans,"Yes, but I probably wouldn't vote often",,"Comes off as long winded, a lot of upcoming content creator type structure. 
I have to go through hours worth of courses to have learnt that 1-2 tips or tricks that actually came in handy practically. ",
"Color Grading, Cinematography, Business of Filmmaking, Content Creation (Youtube, TikTok, Reels), Podcast Interview and Production","AI motion tracking, Generative video AI (Runway, Pika, etc.)","Maybe, if I knew more about the process","Free MZed Pro membership, Gear/software giveaways, Building my personal brand/following","Photography of female models, in studio and on location. I bring a studio look to on location since all my gear is battery powered. I shoot photography on Hasselblad X2D ii and video on Blackmagic Pyxis 12k and 6k.",Somewhat important - I prefer professionals but open to others,"Yes, and I would actively participate in voting",,"They aren't specific enough to a certain topic or how to operate a specific video camera, or in-depth enough on software like Davinci Resolve.",
"Screenwriting, Cinematography, Lighting, Directing, Audio / Sound Design","AI video editing assistants, AI color grading tools, AI scriptwriting/storyboarding, AI upscaling/restoration","Maybe, if I knew more about the process","Revenue share/royalties from course views, Gear/software giveaways, Building my personal brand/following, Sharing my expertise with the community",Digital color grading,Somewhat important - I prefer professionals but open to others,"Yes, and I would actively participate in voting",,,
"Lighting, Unreal Engine for Filmmakers, Narrative filmmaking, Screenwriting, Producing, Directing, Acting & Performance, Professional Software Deep-dives, Cinematography, Virtual Production, Animation & Motion Graphics, Business of Filmmaking, Audio / Sound Design, Career Development & Freelancing, Content Creation (Youtube, TikTok, Reels)","AI scriptwriting/storyboarding, AI background removal, AI upscaling/restoration","Maybe, if I knew more about the process","Revenue share/royalties from course views, Gear/software giveaways, Promotion on CineD.com and social channels, Building my personal brand/following","Crafting images on a budget, the fundamentals of narrative feature storytelling, short films vs feature films (I.e. events vs characters), translating technical aspects to creative people, etc.",I prefer a mix of both,"Yes, but I probably wouldn't vote often",,,
"Audio / Sound Design, Producing, Documentary filmmaking, Cinematography, Screenwriting, Editing",Not interested in AI tools,"No, but I'd watch community-created courses",I wouldn't be interested in creating courses,nothing,I prefer a mix of both,No opinion,not sure,not sure,no
"Drone Operations, Documentary filmmaking, Corporate video production, AI Tools & Workflows, Photography, Lighting, Producing, Cinematography, Color Grading, Career Development & Freelancing, Business of Filmmaking","AI video editing assistants, AI color grading tools, AI voice cloning/dubbing, AI upscaling/restoration, AI background removal","Maybe, if I knew more about the process","Revenue share/royalties from course views, Gear/software giveaways, Sharing my expertise with the community","Lighting basics, 1st / 2nd Assistant Camera roles / duties, studio managing, and camera building",Somewhat important - I prefer professionals but open to others,"Yes, and I would actively participate in voting",Maybe Philip Bloom? Or a professional / union 1st Assistant Camera,Too much clutter and videographer free content on Youtube clogging the information channels,
Documentary filmmaking,AI color grading tools,"No, but I'd watch community-created courses",I wouldn't be interested in creating courses,Documentary editing,Somewhat important - I prefer professionals but open to others,"No, I trust MZed to curate content",,,
"Editing, Color Grading",Not interested in AI tools,"No, I'm not interested",I wouldn't be interested in creating courses,none,I prefer a mix of both,"No, I trust MZed to curate content",,,
"Photography, Editing, Cinematography, Business of Filmmaking, Lighting, Drone Operations",Not interested in AI tools,"No, but I'd watch community-created courses",Revenue share/royalties from course views,Documentary ,I prefer a mix of both,No opinion,,,
"Content Creation (Youtube, TikTok, Reels), Editing",Not interested in AI tools,"No, but I'd watch community-created courses",Revenue share/royalties from course views,Sound editing,Somewhat important - I prefer professionals but open to others,"Yes, but I probably wouldn't vote often",3D video editing,No clue,no
"Audio / Sound Design, Animation & Motion Graphics, Acting & Performance, Photography, Unreal Engine for Filmmakers, Drone Operations","AI video editing assistants, AI background removal, AI motion tracking","No, but I'd watch community-created courses",I wouldn't be interested in creating courses,None,Somewhat important - I prefer professionals but open to others,"No, I trust MZed to curate content",,,
"Lighting, Video Interview and Production, Directing, Career Development & Freelancing, Color Grading, Editing, Audio / Sound Design, AI Tools & Workflows, Drone Operations, Cinematography, Corporate video production, Narrative filmmaking, Documentary filmmaking, Producing","Generative video AI (Runway, Pika, etc.), AI video editing assistants, AI color grading tools, AI scriptwriting/storyboarding, AI voice cloning/dubbing, AI upscaling/restoration, AI background removal, AI motion tracking","Maybe, if I knew more about the process","Free MZed Pro membership, Revenue share/royalties from course views, Gear/software giveaways, Building my personal brand/following, Sharing my expertise with the community","Government Video Operations, Cinematography, video production",Somewhat important - I prefer professionals but open to others,"Yes, and I would actively participate in voting",,,
Unreal Engine for Filmmakers,AI voice cloning/dubbing,"Maybe, if I knew more about the process",Gear/software giveaways,Dunno,Somewhat important - I prefer professionals but open to others,"Yes, but I probably wouldn't vote often",,,
"Content Creation (Youtube, TikTok, Reels)",Not interested in AI tools,"No, but I'd watch community-created courses",I wouldn't be interested in creating courses,"I don't think I would be very good at creating my own courses, I just like to dabble.",Somewhat important - I prefer professionals but open to others,"Yes, but I probably wouldn't vote often",,,
Photography,Not interested in AI tools,"No, I'm not interested",Gear/software giveaways,not sure,Not important - good content matters more than credentials,No opinion,,,no
"Lighting, Documentary filmmaking, Business of Filmmaking, Cinematography, Narrative filmmaking","AI upscaling/restoration, AI background removal, AI motion tracking","No, but I'd watch community-created courses",I wouldn't be interested in creating courses,"I'm at the beginning of my learning journey, so I wouldn't have anything to offer.",Somewhat important - I prefer professionals but open to others,"Yes, and I would actively participate in voting",,,
"Video Interview and Production, Editing, Documentary filmmaking, Color Grading, Cinematography","AI video editing assistants, AI color grading tools","No, but I'd watch community-created courses",I wouldn't be interested in creating courses,Color correction ,Somewhat important - I prefer professionals but open to others,"Yes, and I would actively participate in voting",Ken Burns,Some classes are very expensive ,"Good job, keep updating content. "
"Professional Software Deep-dives, Career Development & Freelancing, Editing, Color Grading, Animation & Motion Graphics, Unreal Engine for Filmmakers, Business of Filmmaking, Video Interview and Production, Audio / Sound Design, Screenwriting, Producing, Narrative filmmaking, Lighting, Directing, Cinematography","AI video editing assistants, AI color grading tools, Generative video AI (Runway, Pika, etc.), AI scriptwriting/storyboarding, AI voice cloning/dubbing, AI upscaling/restoration, AI background removal, AI motion tracking","Maybe, if I knew more about the process","Revenue share/royalties from course views, Free MZed Pro membership, Gear/software giveaways, Building my personal brand/following",Screenwriting and directing for narrative film.,Somewhat important - I prefer professionals but open to others,"Yes, but I probably wouldn't vote often",,,
"Narrative filmmaking, Career Development & Freelancing, Drone Operations, Editing, Cinematography, Directing, Color Grading, Lighting, Animation & Motion Graphics, Audio / Sound Design, Business of Filmmaking, Content Creation (Youtube, TikTok, Reels), Acting & Performance, Documentary filmmaking, Professional Software Deep-dives","AI video editing assistants, AI upscaling/restoration, AI motion tracking, AI background removal","No, but I'd watch community-created courses","Revenue share/royalties from course views, Gear/software giveaways, Promotion on CineD.com and social channels, Building my personal brand/following, Sharing my expertise with the community",Filmmaking for Kids,Not important - good content matters more than credentials,"Yes, and I would actively participate in voting",Can‘t say,There is so much out there and i just can‘t spend that much money on courses. Time is limited so having more options does not really make it better…,
"Lighting, Cinematography, Audio / Sound Design",AI video editing assistants,"Maybe, if I knew more about the process",Free MZed Pro membership,"Production & Set Safety
Indie filmmaking
Film racing",Somewhat important - I prefer professionals but open to others,"No, I trust MZed to curate content",,,
Acting & Performance,Not interested in AI tools,"No, I'm not interested",I wouldn't be interested in creating courses,more sweepstakes,Not important - good content matters more than credentials,No opinion,,,
Photography,Not interested in AI tools,"No, I'm not interested",I wouldn't be interested in creating courses,None,Somewhat important - I prefer professionals but open to others,"Yes, but I probably wouldn't vote often",,,
"Photography, Editing, Drone Operations","AI upscaling/restoration, AI background removal","No, I'm not interested",I wouldn't be interested in creating courses,"I am a listener, not talker",I prefer a mix of both,No opinion,-,-,-
"Virtual Production, Business of Filmmaking, AI Tools & Workflows, Cinematography, Professional Software Deep-dives, Documentary filmmaking, Producing, Photography, Content Creation (Youtube, TikTok, Reels), Video Interview and Production, Color Grading, Directing","Generative video AI (Runway, Pika, etc.), AI color grading tools","Yes, definitely interested","Revenue share/royalties from course views, Free MZed Pro membership, Gear/software giveaways, Promotion on CineD.com and social channels, Building my personal brand/following, Sharing my expertise with the community, I wouldn't be interested in creating courses",Corporate Filmmaking and working in a corporate environment,Somewhat important - I prefer professionals but open to others,"No, I trust MZed to curate content",,,
"Photography, Editing",Not interested in AI tools,"No, but I'd watch community-created courses",Promotion on CineD.com and social channels,?,Not important - good content matters more than credentials,"Yes, but I probably wouldn't vote often",,,
"Virtual Production, AI Tools & Workflows, Documentary filmmaking, Audio / Sound Design, Editing, Narrative filmmaking","Generative video AI (Runway, Pika, etc.), AI video editing assistants, AI color grading tools, AI scriptwriting/storyboarding, AI background removal","No, but I'd watch community-created courses","I wouldn't be interested in creating courses, Revenue share/royalties from course views",I’m not sure. ,Not important - good content matters more than credentials,"Yes, but I probably wouldn't vote often",,,
Audio / Sound Design,Not interested in AI tools,"No, I'm not interested",I wouldn't be interested in creating courses,none,Somewhat important - I prefer professionals but open to others,"Yes, but I probably wouldn't vote often",none,nothing,no
"Photography, Lighting, Animation & Motion Graphics, Editing","AI upscaling/restoration, AI background removal","No, but I'd watch community-created courses",I wouldn't be interested in creating courses,N/A,Somewhat important - I prefer professionals but open to others,"Yes, but I probably wouldn't vote often",Nothing specific,Length of courses,N/A
Narrative filmmaking,AI scriptwriting/storyboarding,"Maybe, if I knew more about the process","Revenue share/royalties from course views, Gear/software giveaways",Cinematography,Somewhat important - I prefer professionals but open to others,"Yes, but I probably wouldn't vote often",,,
"Producing, Color Grading, Editing","Generative video AI (Runway, Pika, etc.), AI upscaling/restoration, AI voice cloning/dubbing, AI color grading tools","Maybe, if I knew more about the process","Free MZed Pro membership, Gear/software giveaways","Sweepstakes, Cell phone Services",Very important - I only want courses from industry veterans,"Yes, and I would actively participate in voting","Idk. If Taylor Swift was available for singing lessons, then I'd pay.",Not enough online options for school,No
"Lighting, Documentary filmmaking, Business of Filmmaking, AI Tools & Workflows, Animation & Motion Graphics, Editing, Color Grading, Unreal Engine for Filmmakers, Producing, Professional Software Deep-dives, Career Development & Freelancing, Audio / Sound Design","AI video editing assistants, Generative video AI (Runway, Pika, etc.), AI voice cloning/dubbing, AI scriptwriting/storyboarding, AI color grading tools, AI upscaling/restoration, AI background removal, AI motion tracking","Maybe, if I knew more about the process","Revenue share/royalties from course views, Free MZed Pro membership, Gear/software giveaways, Building my personal brand/following, Sharing my expertise with the community",Maybe MCP,Somewhat important - I prefer professionals but open to others,"Yes, but I probably wouldn't vote often",More editing class for maybe different type of genre and software.,"You roll out about 3 to 5 courses per year. However, there's only about 1 to 2 courses that I MAY BE interested in. With $200 of subscription, I think it's a bit too much. ",
"Content Creation (Youtube, TikTok, Reels), Unreal Engine for Filmmakers, Cinematography",AI voice cloning/dubbing,"Yes, definitely interested",Promotion on CineD.com and social channels,Key filming making techniques,Very important - I only want courses from industry veterans,"Yes, and I would actively participate in voting",editing,the price,
"Acting & Performance, Business of Filmmaking, Screenwriting, Directing, Narrative filmmaking, Editing",I’m pretty cautious about AI,"Maybe, if I knew more about the process","Revenue share/royalties from course views, Free MZed Pro membership, Sharing my expertise with the community, Building my personal brand/following","Storytelling, writing, design ",Somewhat important - I prefer professionals but open to others,"No, I trust MZed to curate content",Not sure yet,Practical stuff is expensive to take part in,No
"Color Grading, AI Tools & Workflows, Virtual Production, Professional Software Deep-dives, Drone Operations, Unreal Engine for Filmmakers","Generative video AI (Runway, Pika, etc.), AI video editing assistants, AI color grading tools, AI scriptwriting/storyboarding, AI voice cloning/dubbing, AI upscaling/restoration, AI background removal, AI motion tracking","No, but I'd watch community-created courses",Revenue share/royalties from course views,Upcoming technology trends in Media .,Not important - good content matters more than credentials,"Yes, and I would actively participate in voting",Some one well versed in Gen AI tools for media and pipelines for that .,Oldscool. ,"You could come up with courses on creative technologies, touch osc programming , media servers landscape , deep dive into tech behind great shows across world  bring thier crew talk about thier project , bring in experts from NDI , Dante and other IPtechnologies ,VMIX, Qlabs , isadora, unreal engines , camera tracking tech , virtual production ,people  working on tech like HDR , UHD . Courses  on streaming technology . Since 100s of billions of dollars are spend on year on year  R&D on IP , AI and cloud and if you look at R&D in broadcast and media only Sony seems spends some money that too in gaming side . So in next 5 years we will have to piggy back on IP technologies. So courses should be aligned to prepare media professionals for that ."
"Professional Software Deep-dives, Video Interview and Production, Business of Filmmaking, AI Tools & Workflows, Cinematography, Lighting, Editing, Content Creation (Youtube, TikTok, Reels)","AI video editing assistants, AI color grading tools, AI scriptwriting/storyboarding, AI background removal, AI motion tracking, AI upscaling/restoration","No, I'm not interested",I wouldn't be interested in creating courses,Film production: Camera assistant,Somewhat important - I prefer professionals but open to others,"Yes, but I probably wouldn't vote often",,,
"Color Grading, Cinematography, Virtual Production, Screenwriting, Career Development & Freelancing, Video Interview and Production, Lighting",Not interested in AI tools,"No, I'm not interested","Free MZed Pro membership, Revenue share/royalties from course views, Gear/software giveaways, Promotion on CineD.com and social channels, Building my personal brand/following, Sharing my expertise with the community",N/A,Somewhat important - I prefer professionals but open to others,"Yes, and I would actively participate in voting",Courses on virtual production and building video volume walls / LED walls.,So many niche areas and not enough time to focus on each area...,N/A
"Corporate video production, Editing, Audio / Sound Design, Drone Operations, Lighting, Animation & Motion Graphics, Professional Software Deep-dives","AI color grading tools, AI scriptwriting/storyboarding, AI voice cloning/dubbing, AI motion tracking","Maybe, if I knew more about the process","Free MZed Pro membership, Gear/software giveaways, Sharing my expertise with the community","Video Editing skills
Audio Recording
Ligthing",Somewhat important - I prefer professionals but open to others,"Yes, and I would actively participate in voting",SOUND PRODUCTION & ACOUSTIC ENGINEERING,"Cost, availability of genuine content",no
"Cinematography, Color Grading, Business of Filmmaking, Podcast Interview and Production, Editing, Lighting, Career Development & Freelancing","AI video editing assistants, AI color grading tools, AI upscaling/restoration, AI motion tracking","Maybe, if I knew more about the process","Revenue share/royalties from course views, Gear/software giveaways, Building my personal brand/following, Sharing my expertise with the community","Introductory camera classes, understanding camera technicals, shooting on film, film history ",Somewhat important - I prefer professionals but open to others,"Yes, but I probably wouldn't vote often","Instructors are not as important as courses to me. I would want lighting, business courses, freelancer corses",Nothing much. ,Looking forward to seeing how MZed evolves
"Cinematography, Color Grading, Professional Software Deep-dives, Business of Filmmaking, AI Tools & Workflows, Career Development & Freelancing","Generative video AI (Runway, Pika, etc.), AI color grading tools, AI upscaling/restoration","Maybe, if I knew more about the process","Free MZed Pro membership, Gear/software giveaways","It will end up being about teaching basic knowledge, but I think if it's done in a chapter format, deeper knowledge can be conveyed.",Somewhat important - I prefer professionals but open to others,"No, I trust MZed to curate content","VFX,Color grading,Deliver",,
"Editing, Directing, Narrative filmmaking, AI Tools & Workflows, Corporate video production, Documentary filmmaking, Color Grading, Cinematography, Producing","Generative video AI (Runway, Pika, etc.)","Maybe, if I knew more about the process","Free MZed Pro membership, Revenue share/royalties from course views","Crafting a space for authenticity

-> I would only be interested in it if it were extremely high quality and curated. I don't need to watch any nonsense. That's already available on YouTube for free.",Somewhat important - I prefer professionals but open to others,"No, I trust MZed to curate content","Get exciting people in front of the camera. There are so many great people who love to tell stories and have so much untold, directors, editors, good colour graders, cameramen... so many treasures to be unearthed.","It frustrates me when the trend is towards excess, superficiality and shallowness. I want to hear masters, understand quality and dive deep. Otherwise, I don't need subscription portals if they're just a copy of Instagram, YouTube or Skillshare.","Please stay true to quality. 
You can be one of the few platforms with high end that will last a long time. 
The high prices are legitimate. I think community material will quickly become arbitrary.
Look at how Creative Live was destroyed and Masterclass.com went from being high end to being like everyone else, and that's what happened.

https://lowepost.com/ and mzed, on the other hand, are really high-end in comparison and a safe bet. That can still be marketed. The high quality could be even more clearly emphasised. I don't think that inferior quality really brings you anything – it destroys the brand.
"
"Color Grading, Drone Operations, Podcast Interview and Production, Producing, Acting & Performance, Business of Filmmaking, Professional Software Deep-dives, Directing, Animation & Motion Graphics, Virtual Production, Video Interview and Production, Career Development & Freelancing, Narrative filmmaking, Photography, AI Tools & Workflows, Documentary filmmaking, Unreal Engine for Filmmakers, Cinematography, Editing, Screenwriting, Lighting","Generative video AI (Runway, Pika, etc.), AI video editing assistants, AI color grading tools, AI scriptwriting/storyboarding, AI voice cloning/dubbing, AI upscaling/restoration, AI background removal, AI motion tracking","No, I'm not interested",I wouldn't be interested in creating courses,cinematography,Very important - I only want courses from industry veterans,No opinion,,,
"Unreal Engine for Filmmakers, Business of Filmmaking, Narrative filmmaking, Color Grading, Podcast Interview and Production, Screenwriting","AI background removal, AI color grading tools","No, I'm not interested",Sharing my expertise with the community,"Voiceover coaching, studio management/crewing in relation to studio productions, Finding your tones and color profile as a photographer, getting your part 107 for drone flying",I prefer a mix of both,"No, I trust MZed to curate content",Not currently looking ,the online stuff doesn't really have the networking that an in person event has just because virtual networking isn't the same as in person networking. Not saying that virtual networking is bad or anything just not top tier. ,not really 
"Career Development & Freelancing, Content Creation (Youtube, TikTok, Reels), Editing, Podcast Interview and Production, Audio / Sound Design, Producing, Acting & Performance, Documentary filmmaking, Cinematography, Photography, Narrative filmmaking","AI video editing assistants, AI color grading tools, AI upscaling/restoration, AI background removal, AI motion tracking","No, but I'd watch community-created courses","Building my personal brand/following, Revenue share/royalties from course views, Gear/software giveaways",Introductory to Davinci Resolve,I prefer a mix of both,"Yes, but I probably wouldn't vote often",,,
"Virtual Production, Animation & Motion Graphics, Cinematography, Unreal Engine for Filmmakers","AI video editing assistants, AI color grading tools, AI scriptwriting/storyboarding, AI voice cloning/dubbing, AI background removal, AI motion tracking","Maybe, if I knew more about the process","Gear/software giveaways, Revenue share/royalties from course views, Sharing my expertise with the community",Photography fundamentals,Somewhat important - I prefer professionals but open to others,"Yes, but I probably wouldn't vote often",,,
"Audio / Sound Design, Documentary filmmaking, Editing, Video Interview and Production, Corporate video production, Content Creation (Youtube, TikTok, Reels), Color Grading, Photography, Cinematography, Professional Software Deep-dives","AI upscaling/restoration, AI video editing assistants, AI color grading tools","No, but I'd watch community-created courses",I wouldn't be interested in creating courses,I wouldn't pay to watch me,Somewhat important - I prefer professionals but open to others,"No, I trust MZed to curate content",,,
"Editing, Lighting, Photography, Color Grading",AI color grading tools,"No, I'm not interested",Gear/software giveaways,"IT troubleshooting, nothing related to video/photography",I prefer a mix of both,"Yes, and I would actively participate in voting","editing, color grading materials",hard to find accessible knowledge from trusted industry professionals,"not really, only that I love the platform and the hosts of the courses! P Bloom is the best!"
"Video Interview and Production, Color Grading, Professional Software Deep-dives, Corporate video production, Editing, Animation & Motion Graphics, Virtual Production","Generative video AI (Runway, Pika, etc.), AI video editing assistants, AI color grading tools, AI motion tracking","No, but I'd watch community-created courses",I wouldn't be interested in creating courses,I wouldn't be interested in creating courses,Somewhat important - I prefer professionals but open to others,"Yes, but I probably wouldn't vote often",,,"I'm a professional video editor, and I normally look for tutorials for specific topics or issues. I don't normally use courses but rather short how-to videos."
"Unreal Engine for Filmmakers, Podcast Interview and Production, Professional Software Deep-dives","AI voice cloning/dubbing, Not interested in AI tools","No, I'm not interested",Revenue share/royalties from course views,aaaa,Not important - good content matters more than credentials,"Yes, and I would actively participate in voting",,,
